Principal Investigator,Organization,Project Title,Data Availability,Analyte,Matrix,Included Enrollment Cohorts,Subcategories included,Visit(s),Project ID,Notes
"Andrew Singleton, PhD",NIA,APOE4 Genotyping​,Currently available,APOE4 genotyping​,DNA from whole blood,Healthy Control Parkinson Disease SWEDD (legacy),,Baseline,104,
"Clemens Scherzer, MD",Harvard,Evaluation of PD-linked Transcripts in PPMI,Currently available,aSyn transcripts,RNA from whole blood,Healthy Control Parkinson Disease,,Baseline,105,
"Les Shaw, PhD",UPenn,"A-beta 1-42, t-tau and p-tau 181 Measurements in PPMI CSF Samples using xMAP/Luminex Multiplex Immunoassay & Roche Elecsys",Currently available,"Aβ, tau, & p-tau181 ​",CSF,Healthy Control Parkinson Disease Prodromal SWEDD (legacy),Genetic subjects,"Baseline, 6, 12, 24, 36 months","110, 125","Innogentics: PD, HC, & SWEDD through yr 1; Elecsys: PD, HC, & SWEDD through yr 3, prodromal & genetic through yr 1"
"Judith Potashkin, PhD",Rosalind & Franklin University,Whole blood RNA Biomarkers of PD,Currently available,mRNA transcripts,RNA from whole blood,Healthy Control Parkinson Disease,,Baseline,114,
"Andrew Singleton, PhD",NIA,Whole Genome Sequencing & Analysis of PPMI Prodromal & Genetic Cohorts & Genetic Registry​,Currently available,Whole genome sequencing,DNA from whole blood,Healthy Control Parkinson Disease Prodromal SWEDD (legacy),Genetic subjects,Baseline,118,
"Martin Rabey, MD",BioShai Ltd.,Validation of a blood-based Gene Expression Assay for Early Diagnosis & Monitoring Disease,Currently available,mRNA transcripts,RNA from whole blood,Healthy Control Parkinson Disease SWEDD (legacy),,"Baseline, 12, 24, 36 months",119,
"Peggy Taylor, PhD",BioLegend,"aSyn Measurements in Longitudinal CSF Samples From De Novo, PD, CT, SWEDD, Prodromal, & Genetic Cohorts​",Currently available,"total aSyn, hemoglobin, & total protein",CSF,Healthy Control Parkinson Disease Prodromal SWEDD (legacy),Genetic subjects,"Baseline, 6, 12, 24, 36 months","124, 134","PD, HC, SWEDD through yr 3, prodromal & genetic through yr 1"
"Satpal Virdee, PhD",University of Dundee​,Profiling PINK1-Parkin Functionality in Patient Fibroblasts Using Chemical Probes,Currently available,PINK1,Fibroblasts,Healthy Control Parkinson Disease,,,127,
"Xinnan Wang, PhD",Stanford University​,"Miro, a Biomarker for Parkinson’s Disease",Currently available,Miro,Fibroblasts iPSCs,Healthy Control Parkinson Disease Prodromal,Genetic subjects,,129,
"Pablo Sardi, PhD",Sanofi,GBA-Related Biomarkers in Parkinson's Disease,Currently available,GCase activity & sphingolipids​,CSF Plasma Whole blood,Healthy Control Parkinson Disease SWEDD (legacy),,"Baseline, 12, 24, 36 months","132, 135",
"Danielle Graham, PhD; Brit Mollenhauer, MD",Biogen; Paracelsus EleN/A Klinik,Investigation of Neurofilament Light Chain in Serum from the PPMI Cohorts as Progression Marker for PD​,Currently available,Neurofilament Light (NFL)​,Serum,Healthy Control Parkinson Disease Prodromal,Genetic subjects,"PD & HC: Baseline, 6, 12, 24, 36, 60 months; Prodromal & genetic cohorts: Baseline, 6, 12, 24, 36 months",144,
"Kalpana Merchant, PhD",TransThera,Do Urinary BMP Levels Change with Disease Progression in Idiopathic & Genetic PD?,Currently available,BMP,Urine,Healthy Control Parkinson Disease Prodromal,GBA & LRRK2 subjects,"PD, HC, & GBA: Baseline only; LRRK2: Baseline, 12, 24 months",145,
"Dimitri Krainc, MD",Northwestern University,Convergence of LRRK2 & GBA1 in the Pathogenesis of Parkinson’s Disease,Currently available,GCase activity in dopaminergic neurons​,iPSCs,Healthy Control Parkinson Disease,LRRK2 subjects,,148,
"Matt LaVoie, PhD","Brigham & Women’s, Harvard​",Role of LRRK2 in Gcase-mediated Alterations in Lysosome Functions & aSyn Metabolism,Currently available,LRRK2 at lysosomes,iPSCs,Parkinson Disease,GBA subjects,,149,
"Les Shaw, PhD",UPenn,"PPMI CSF A-beta42, t-tau, and p-tau 181 Analysis 2019",Currently available,"Aβ, tau, & p-tau181 ​",CSF,Healthy Control Parkinson Disease Prodromal SWEDD (legacy),Genetic subjects,"Baseline, 6, 12, 24, 36, 48, 60, 72, 84, 96, 108 months",159,"75 Bridging study & 2,000+ remaining PPMI samples not yet aN/Alyzed from previous efforts"
"Maximiliano Gutierrez, PhD",Francis Crick Institute​,The Role of LRRK2 Kinase Activity in Human Macrophage Function,Currently available,LRRK2 kinase activity,iPSCs,Parkinson Disease,LRRK2 subjects,,161,
"Michael Schwarzschild, MD, PhD",MGH & Denali,Vitamin B12 levels in plasma samples,Currently available,B12,Plasma,Healthy Control Parkinson Disease Prodromal,GBA & LRRK2 subjects,"Plasma: Baseline,12, 24 months; CSF: Baseline only",243,
"Michael Schwarzschild, MD, PhD",MGH & Denali,Analysis of Glucosylsphingosine in CSF samples,Currently available,GlcSph,CSF Plasma,Healthy Control Parkinson Disease Prodromal,GBA & LRRK2 subjects,"Plasma: Baseline,12, 24 months; CSF: Baseline only",303,
"Shawn Ritchie, PhD",Med-Life Discoveries,Validation of Plasmalogen Augmentation as a Viable Drug Target in PD​,Currently available,Plasmalogen​,Plasma,Healthy Control Parkinson Disease SWEDD (legacy),Genetic subjects,Baseline,182,
"Christos Proukakis, MD, PhD",University College London,Detection of GBA Mutations by Combination of Illumina & nanopore Sequencing​,Currently available,Long read GBA sequencing,DNA from whole blood,Parkinson Disease Prodromal,GBA subjects,Various,195,
