PROJECTID,cohort_col,TESTNAME,UNITS,n,omnibus_pval,omnibus_qval_fdr_bh,outlier_handling,gba_included,log_transform,pd_only
LCC 101,HEURISTIC,a-synuclein,pg/ml,21.0,0.4737707686235988,0.4737707686235988,none,False,False,True
LCC 104,HEURISTIC,LRRK2 RAW Run-1,AU,14.0,0.3592776340666602,0.5556030998907211,none,False,False,True
LCC 104,HEURISTIC,pS1292-LRRK2 RAW,AU,12.0,0.0815671691991336,0.4894030151948021,none,False,False,True
LCC 104,HEURISTIC,TSG101 RAW Run-1,AU,14.0,0.9930538875528792,0.9930538875528792,none,False,False,True
LCC 104,HEURISTIC,p935 LRRK2 RAW,AU,15.0,0.3704020665938141,0.5556030998907211,none,False,False,True
LCC 104,HEURISTIC,LRRK2 RAW Run-2,AU,15.0,0.3560264815564209,0.5556030998907211,none,False,False,True
LCC 104,HEURISTIC,TSG101 RUN 2,AU,15.0,0.963847420778923,0.9930538875528792,none,False,False,True
LCC 105,HEURISTIC,AB(1-42),pg/ml,22.0,0.8028692274349013,0.8309108603209604,none,False,False,True
LCC 105,HEURISTIC,Tau,pg/ml,21.0,0.7941863973816117,0.8309108603209604,none,False,False,True
LCC 105,HEURISTIC,p-Tau181P,pg/ml,21.0,0.8309108603209604,0.8309108603209604,none,False,False,True
LCC 107,HEURISTIC,mtDNA85 Digital PCR,mtDNA copies/ul CSF,21.0,0.1731233733158312,0.1731233733158312,none,False,False,True
LCC 108,HEURISTIC,(4-Hydroxy-3-methoxyphenyl)ethanol,area,39.0,0.759027893706731,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,(4-Hydroxy-3-methoxyphenyl)ethanol,area ratio,39.0,0.7713224527992856,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,1-Methylhistamine,area,39.0,0.5953203378597589,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,1-Methylhistamine,area ratio,39.0,0.6032557674983446,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,1-Methylhistidine,area,39.0,0.9271984807979684,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,1-Methylhistidine,area ratio,39.0,0.876241883381318,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,1-Methylinosine,area,39.0,0.5039359382189804,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,1-Methylinosine,area ratio,39.0,0.5204527149252542,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,1-Methylnicotinamide,area,39.0,0.7752000945309026,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,1-Methylnicotinamide,area ratio,39.0,0.7747043991223675,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,1-Methylxanthine,area,39.0,0.2117467530269723,0.900843707210794,none,False,False,True
LCC 108,HEURISTIC,1-Methylxanthine,area ratio,39.0,0.1865860023263992,0.900843707210794,none,False,False,True
LCC 108,HEURISTIC,"3-Hydroxy-N6,N6,N6-Trimethyllysine",area,39.0,0.9579606524050908,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,"3-Hydroxy-N6,N6,N6-Trimethyllysine",area ratio,39.0,0.9230498201478824,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,3-Hydroxyanthranilic acid,area,39.0,0.8962153463978746,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,3-Hydroxyanthranilic acid,area ratio,39.0,0.889379423820431,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,3-Hydroxybutyric acid,area,39.0,0.9508032328959232,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,3-Hydroxybutyric acid,area ratio,39.0,0.9643486263503096,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,3-Hydroxytyrosol,area,39.0,0.6752833984344561,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,3-Hydroxytyrosol,area ratio,39.0,0.6440102214298669,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,3-Methoxytyrosine,area,39.0,0.6039282353867123,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,3-Methoxytyrosine,area ratio,39.0,0.6886897741954229,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,4-Hydroxy-L-proline,area,39.0,0.2500165233002356,0.95665603523153,none,False,False,True
LCC 108,HEURISTIC,4-Hydroxy-L-proline,area ratio,39.0,0.2949381286490568,0.95665603523153,none,False,False,True
LCC 108,HEURISTIC,4-trimethylammoniobutanal,area,39.0,0.0196257059336538,0.3443419313813803,none,False,False,True
LCC 108,HEURISTIC,4-trimethylammoniobutanal,area ratio,39.0,0.0354191224741603,0.4690506302780013,none,False,False,True
LCC 108,HEURISTIC,5-Hydroxyindoleacetic acid,area,39.0,0.4447999323054658,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,5-Hydroxyindoleacetic acid,area ratio,39.0,0.4683052957330674,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,5-Methylthioadenosine,area,39.0,0.3319799299685526,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,5-Methylthioadenosine,area ratio,39.0,0.3504287811259446,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,6-Aminouracil,area,39.0,0.5855798618571494,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,6-Aminouracil,area ratio,39.0,0.6766975054574745,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,7-HOCA,area,39.0,0.9726669009473132,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,7-HOCA,area ratio,39.0,0.9894937136063444,0.9991072098267856,none,False,False,True
